jobTitle,department,earnings,year,serviceArea,hourlyWage,status
police officer,investigations,84824.84,2015.0,police services,40.78,full time
police officer,patrol,84810.95,2015.0,police services,40.77,full time
electric lineworker,electric field services,84647.38,2015.0,utility services,40.7,full time
police officer,patrol,84512.08,2015.0,police services,40.63,full time
sys integrator/netwk administ,information technology,84365.41,2015.0,information and employee services,40.56,full time
police officer,patrol,84223.28,2015.0,police services,40.49,full time
civil engineer ii,ut water utilities engineering,84161.09,2015.0,planning development & transportation,40.46,full time
police officer,patrol,84157.04,2015.0,police services,40.46,full time
telecom systems administrator,l&p operations service unit,84153.87,2015.0,utility services,40.46,full time
director of parks,parks,84057.14,2015.0,community and operation services,40.41,full time
police officer,patrol,83990.96,2015.0,police services,40.38,full time
police officer,investigations,83922.83,2015.0,police services,40.35,full time
police officer,patrol,83899.09,2015.0,police services,40.34,full time
systems analyst,information technology,83886.54,2015.0,information and employee services,40.33,full time
civil engineer ii,engineering,83881.16,2015.0,planning development & transportation,40.33,full time
telecom technical specialist,information technology,83816.46,2015.0,information and employee services,40.3,full time
police officer,investigations,83760.66,2015.0,police services,40.27,full time
chief surveyor,engineering,83738.29,2015.0,planning development & transportation,40.26,full time
police officer,patrol,83716.18,2015.0,police services,40.25,full time
learning & org dev manager,human resources,83679.0,2015.0,information and employee services,40.23,full time
electric field service manager,electric field services,83645.82,2015.0,utility services,40.21,full time
police officer,patrol,83508.39,2015.0,police services,40.15,full time
police officer,patrol,83497.37,2015.0,police services,40.14,full time
lineworker equipment spec,electric field services,83386.06,2015.0,utility services,40.09,full time
sr elec util proj mgr,ut electric systems eng div,83198.0,2015.0,utility services,40.0,full time
police officer,investigations,83121.88,2015.0,police services,39.96,full time
hr business and technology mgr,human resources,83002.4,2015.0,information and employee services,39.9,full time
electronic technician ii,ut standards engineering div,82986.98,2015.0,planning development & transportation,39.9,full time
police officer,investigations,82953.67,2015.0,police services,39.88,full time
police officer,patrol,82900.74,2015.0,police services,39.86,full time
police officer,patrol,82876.34,2015.0,police services,39.84,full time
police officer,patrol,82868.68,2015.0,police services,39.84,full time
police officer,patrol,82807.79,2015.0,police services,39.81,full time
police officer,patrol,82753.14,2015.0,police services,39.79,full time
systems analyst,information technology,82729.91,2015.0,information and employee services,39.77,full time
risk manager,"safety, security, & risk mgmt.",82703.15,2015.0,financial services,39.76,full time
civil engineer ii,ut water utilities engineering,82587.01,2015.0,planning development & transportation,39.71,full time
real estate services manager,operation services,82554.66,2015.0,community and operation services,39.69,full time
systems analyst,information technology,82372.5,2015.0,information and employee services,39.6,full time
police officer,patrol,82370.36,2015.0,police services,39.6,full time
police officer,patrol,82364.81,2015.0,police services,39.6,full time
police officer,patrol,82317.02,2015.0,police services,39.58,full time
police officer,patrol,82292.28,2015.0,police services,39.56,full time
police officer,patrol,82271.19,2015.0,police services,39.55,full time
engineering project manager,engineering,82239.5,2015.0,planning development & transportation,39.54,full time
police officer,investigations,82228.54,2015.0,police services,39.53,full time
chemist,ut water production div,81943.03,2015.0,utility services,39.4,full time
police officer,patrol,81909.31,2015.0,police services,39.38,full time
police officer,patrol,81784.92,2015.0,police services,39.32,full time
sr transportation planner,fc moves,81661.02,2015.0,planning development & transportation,39.26,full time
electric lineworker,electric field services,81649.96,2015.0,utility services,39.25,full time
police officer,patrol,81645.32,2015.0,police services,39.25,full time
sr landscape architect,park planning & development,81575.36,2015.0,community and operation services,39.22,full time
police officer,patrol,81306.27,2015.0,police services,39.09,full time
police officer,patrol,81305.98,2015.0,police services,39.09,full time
crew chief,streets,81297.32,2015.0,planning development & transportation,39.09,full time
police officer,patrol,81297.25,2015.0,police services,39.09,full time
systems analyst,information technology,81262.29,2015.0,information and employee services,39.07,full time
historic preservation manager,comm dev & neighborhood svcs,81159.69,2015.0,planning development & transportation,39.02,full time
lan and systems administrator,information technology,81135.0,2015.0,information and employee services,39.01,full time
police officer,patrol,80858.4,2015.0,police services,38.87,full time
police officer,patrol,80737.1,2015.0,police services,38.82,full time
police officer,investigations,80691.24,2015.0,police services,38.79,full time
police sergeant,patrol,80684.09,2015.0,police services,38.79,full time
police officer,patrol,80657.7,2015.0,police services,38.78,full time
police officer,patrol,80615.72,2015.0,police services,38.76,full time
police officer,investigations,80615.29,2015.0,police services,38.76,full time
police officer,patrol,80606.49,2015.0,police services,38.75,full time
police officer,patrol,80560.08,2015.0,police services,38.73,full time
police officer,patrol,80524.89,2015.0,police services,38.71,full time
facilities project manager,operation services,80518.44,2015.0,community and operation services,38.71,full time
police officer,patrol,80495.95,2015.0,police services,38.7,full time
police officer,patrol,80354.8,2015.0,police services,38.63,full time
facilities project manager,operation services,80266.99,2015.0,community and operation services,38.59,full time
police officer,patrol,80199.67,2015.0,police services,38.56,full time
police officer,patrol,80190.47,2015.0,police services,38.55,full time
sr environmental planner,environmental services,79989.75,2015.0,sustainability services,38.46,full time
police officer,patrol,79931.94,2015.0,police services,38.43,full time
utility rate analyst,utility financial operations,79846.75,2015.0,utility services,38.39,full time
lan and systems administrator,information technology,79750.0,2015.0,information and employee services,38.34,full time
police officer,patrol,79747.2,2015.0,police services,38.34,full time
utilities cust support manager,utilities customer connections,79679.03,2015.0,utility services,38.31,full time
police officer,patrol,79654.32,2015.0,police services,38.3,full time
maintenance planner/scheduler,operation services,79455.17,2015.0,community and operation services,38.2,full time
crew chief,streets,79406.0,2015.0,planning development & transportation,38.18,full time
parks supervisor,parks,79362.64,2015.0,community and operation services,38.16,full time
police officer,patrol,79343.23,2015.0,police services,38.15,full time
police officer,patrol,79292.18,2015.0,police services,38.12,full time
police officer,patrol,79265.2,2015.0,police services,38.11,full time
watershed specialist,ut water production div,79244.51,2015.0,utility services,38.1,full time
construction inspector,engineering,79196.34,2015.0,planning development & transportation,38.08,full time
gis manager,information technology,79094.88,2015.0,information and employee services,38.03,full time
community engagement manager,utilities customer connections,79085.0,2015.0,utility services,38.02,full time
police officer,patrol,79026.83,2015.0,police services,37.99,full time
energy services engineer,utilities customer connections,78869.3,2015.0,utility services,37.92,full time
parks finance supervisor,community services admin,78830.97,2015.0,community and operation services,37.9,full time
police officer,patrol,78804.88,2015.0,police services,37.89,full time
criminalist,investigations,78713.04,2015.0,police services,37.84,full time
police officer,patrol,78648.99,2015.0,police services,37.81,full time
investment administrator,accounting and treasury,78534.82,2015.0,financial services,37.76,full time
recreation area manager,recreation,78490.2,2015.0,community and operation services,37.74,full time
police officer,patrol,78379.89,2015.0,police services,37.68,full time
electric lineworker,electric field services,78149.02,2015.0,utility services,37.57,full time
compensation analyst,human resources,77968.37,2015.0,information and employee services,37.48,full time
building inspector-inactive,comm dev & neighborhood svcs,77964.1,2015.0,planning development & transportation,37.48,full time
chief construction inspector,engineering,77950.66,2015.0,planning development & transportation,37.48,full time
water resources engineer,ut water resources div,77877.37,2015.0,utility services,37.44,full time
police officer,investigations,77867.54,2015.0,police services,37.44,full time
policy and project manager,city manager's office,77688.3,2015.0,city manager,37.35,full time
police officer,patrol,77639.81,2015.0,police services,37.33,full time
financial & policy analyst,operation services,77586.0,2015.0,community and operation services,37.3,full time
police officer,investigations,77485.13,2015.0,police services,37.25,full time
sr city planner-inactive,comm dev & neighborhood svcs,77445.44,2015.0,planning development & transportation,37.23,full time
police officer,patrol,77416.15,2015.0,police services,37.22,full time
electric utility project mgr,ut standards engineering div,77378.72,2015.0,planning development & transportation,37.2,full time
parks supervisor,parks,77337.32,2015.0,community and operation services,37.18,full time
bikes program manager,fc moves,77231.4,2015.0,planning development & transportation,37.13,full time
police officer,patrol,77231.13,2015.0,police services,37.13,full time
water supply supervisor,ut water production div,77227.5,2015.0,utility services,37.13,full time
communications & marketing mgr,utilities customer connections,76922.96,2015.0,utility services,36.98,full time
performing arts center mgr,cultural services,76818.12,2015.0,community and operation services,36.93,full time
police officer,patrol,76773.91,2015.0,police services,36.91,full time
survey party chief,engineering,76683.54,2015.0,planning development & transportation,36.87,full time
civil engineer ii,engineering,76674.35,2015.0,planning development & transportation,36.86,full time
police officer,patrol,76634.55,2015.0,police services,36.84,full time
lead plant operator,ut water production div,76587.56,2015.0,utility services,36.82,full time
lead building insp-inactive,comm dev & neighborhood svcs,76489.24,2015.0,planning development & transportation,36.77,full time
sr hris/benefits analyst,human resources,76377.29,2015.0,information and employee services,36.72,full time
electric lineworker,electric field services,76352.0,2015.0,utility services,36.71,full time
sr construction inspector,engineering,76151.02,2015.0,planning development & transportation,36.61,full time
econ policy & project mgr,economic health office,76037.88,2015.0,sustainability services,36.56,full time
lead plant operator,ut water production div,75985.73,2015.0,utility services,36.53,full time
energy services engineer,utilities customer connections,75837.25,2015.0,utility services,36.46,full time
plant operator,ut water production div,75643.6,2015.0,utility services,36.37,full time
manager of parks,parks,75570.2,2015.0,community and operation services,36.33,full time
civil engineer i,ut water utilities engineering,75487.71,2015.0,planning development & transportation,36.29,full time
civil engineer i,ut water utilities engineering,75417.19,2015.0,planning development & transportation,36.26,full time
police officer,patrol,75407.43,2015.0,police services,36.25,full time
wellness program manager,human resources,75309.71,2015.0,information and employee services,36.21,full time
systems specialist,information technology,75264.06,2015.0,information and employee services,36.18,full time
lineworker equipment spec,electric field services,75261.35,2015.0,utility services,36.18,full time
"dir safty, securty & risk mgmt","safety, security, & risk mgmt.",75192.36,2015.0,financial services,36.15,full time
police systems analyst,information technology,75155.16,2015.0,information and employee services,36.13,full time
utilities project coordinator,utility financial operations,75114.12,2015.0,utility services,36.11,full time
electric lineworker,electric field services,75031.07,2015.0,utility services,36.07,full time
line crew chief,electric field services,74954.82,2015.0,utility services,36.04,full time
policy and project manager,city manager's office,74599.0,2015.0,city manager,35.86,full time
energy services engineer,utilities customer connections,74497.98,2015.0,utility services,35.82,full time
mgr of gardens on spring creek,cultural services,74401.87,2015.0,community and operation services,35.77,full time
civil engineer i,ut water utilities engineering,74369.06,2015.0,planning development & transportation,35.75,full time
chief sustainability officer,sustainability services admin,74363.4,2015.0,sustainability services,35.75,full time
assistant city attorney i,city attorney's office,74353.27,2015.0,city attorney,35.75,full time
director of pdt,pdt administration,74322.66,2015.0,planning development & transportation,35.73,full time
chief deputy city clerk,city clerk's office,74066.64,2015.0,deputy city manager,35.61,full time
civil engineer iii,engineering,73927.27,2015.0,planning development & transportation,35.54,full time
electric lineworker,electric field services,73915.47,2015.0,utility services,35.54,full time
police officer,investigations,73896.1,2015.0,police services,35.53,full time
web programmer analyst,information technology,73862.04,2015.0,information and employee services,35.51,full time
parks project manager,parks,73857.42,2015.0,community and operation services,35.51,full time
sr environmental planner,utilities customer connections,73746.36,2015.0,utility services,35.45,full time
crew chief,parks,73701.23,2015.0,community and operation services,35.43,full time
victim services supervisor,investigations,73672.61,2015.0,police services,35.42,full time
technical services specialist,investigations,73643.87,2015.0,police services,35.41,full time
erp analyst,information technology,73580.04,2015.0,information and employee services,35.38,full time
electric utility project mgr,ut electric systems eng div,73564.0,2015.0,utility services,35.37,full time
systems specialist,information technology,73524.96,2015.0,information and employee services,35.35,full time
shop supervisor-inactive,operation services,73296.75,2015.0,community and operation services,35.24,full time
police officer,patrol,73272.97,2015.0,police services,35.23,full time
police officer,patrol,73254.85,2015.0,police services,35.22,full time
plant operator,ut water production div,73203.5,2015.0,utility services,35.19,full time
police officer,patrol,73129.8,2015.0,police services,35.16,full time
police officer,patrol,73119.75,2015.0,police services,35.15,full time
police officer,patrol,73087.29,2015.0,police services,35.14,full time
systems analyst,information technology,73076.71,2015.0,information and employee services,35.13,full time
police officer,patrol,73020.69,2015.0,police services,35.11,full time
police officer,patrol,72983.21,2015.0,police services,35.09,full time
sr sales tax auditor,sales tax,72697.26,2015.0,financial services,34.95,full time
key accounts rep,utilities customer connections,72495.36,2015.0,utility services,34.85,full time
police sergeant,patrol,72492.31,2015.0,police services,34.85,full time
recreation supervisor,recreation,72441.23,2015.0,community and operation services,34.83,full time
police officer,patrol,72304.05,2015.0,police services,34.76,full time
police officer,patrol,72291.06,2015.0,police services,34.76,full time
sr assistant city attorney,city attorney's office,72250.0,2015.0,city attorney,34.74,full time
superintendent of golf-inactiv,parks,72090.59,2015.0,community and operation services,34.66,full time
parts supervisor,operation services,72090.59,2015.0,community and operation services,34.66,full time
construction inspector,streets,71991.49,2015.0,planning development & transportation,34.61,full time
energy manager,operation services,71925.04,2015.0,community and operation services,34.58,full time
human resources partner-inactv,human resources,71920.43,2015.0,information and employee services,34.58,full time
police sergeant,investigations,71816.67,2015.0,police services,34.53,full time
service dev mgr-inactive,transfort / dial-a-ride,71809.21,2015.0,planning development & transportation,34.52,full time
superintendent of golf-inactiv,parks,71722.55,2015.0,community and operation services,34.48,full time
police officer,patrol,71590.25,2015.0,police services,34.42,full time
financial coordinator,parking,71385.64,2015.0,planning development & transportation,34.32,full time
rec finance/business analyst,recreation,71383.08,2015.0,community and operation services,34.32,full time
crew chief,parks,71241.86,2015.0,community and operation services,34.25,full time
police officer,patrol,71203.99,2015.0,police services,34.23,full time
accounting director,accounting and treasury,71168.8,2015.0,financial services,34.22,full time
