"Job Title","Department","2015 Earnings"
"POLICE OFFICER","INVESTIGATIONS","$97,242.46"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$97,050.63"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$96,993.77"
"POLICE OFFICER","PATROL","$96,991.14"
"DEPUTY CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$96,680.74"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$96,479.11"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$96,330.59"
"SERVICES CREW CHIEF","ELECTRIC FIELD SERVICES","$96,284.82"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$96,271.29"
"SPECIAL SERVICES SUPERVISOR","ELECTRIC FIELD SERVICES","$96,162.04"
"POLICE SYSTEMS ANALYST","INFORMATION TECHNOLOGY","$96,020.27"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,996.34"
"POLICE OFFICER","PATROL","$95,952.07"
"POLICE OFFICER","INVESTIGATIONS","$95,929.64"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$95,891.43"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,622.57"
"SR DATABASE ANALYST","INFORMATION TECHNOLOGY","$95,582.81"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,328.10"
"LABORATORY SUPERVISOR","UT ENVIRONMENTAL SERVICES DIV","$95,078.41"
"POLICE OFFICER","PATROL","$94,978.14"
"POLICE PSYCHOLOGIST","OFFICE OF THE CHIEF","$94,909.70"
"METER SYSTEMS SUPERVISOR","UT STANDARDS ENGINEERING DIV","$94,897.17"
"SYSTEMS ADMINISTRATION MGR","INFORMATION TECHNOLOGY","$94,876.63"
"WATER PRODUCTION MANAGER","UT WATER PRODUCTION DIV","$94,605.00"
"POLICE SERGEANT","OFFICE OF THE CHIEF","$94,557.47"
"ASST FIRE MARSHALL-NON ROTATE","POUDRE FIRE AUTHORITY","$94,540.00"
"PAVEMENT ENGINEER","STREETS","$94,500.58"
"POLICE OFFICER","INVESTIGATIONS","$94,362.57"
"REDEVELOPMENT PROGRAM MANAGER","URBAN RENEWAL AUTHORITY","$94,291.94"
"NATURAL AREAS MANAGER","NATURAL AREAS","$94,282.30"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$94,263.13"
"POLICE OFFICER","PATROL","$94,244.03"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$94,226.90"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$94,159.55"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$94,124.17"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","$94,080.81"
"POLICE OFFICER","PATROL","$93,904.28"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,870.82"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,682.38"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,615.40"
"POLICE SERGEANT","PATROL","$93,574.93"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$93,518.04"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,473.78"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,433.20"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,416.50"
"CIVIL ENGINEER III","ENGINEERING","$93,392.64"
"SR DATABASE ANALYST","INFORMATION TECHNOLOGY","$93,381.55"
"CONTROL & DATA SYSTEMS ENG","UT PROCESS & SUPERVIS CNTR DIV","$93,363.55"
"POLICE OFFICER","INVESTIGATIONS","$93,332.56"
"POLICE OFFICER","PATROL","$93,262.34"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,251.35"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,245.95"
"STRATEGIC FINANCE MANAGER","FINANCE ADMINISTRATION","$93,064.05"
"POLICE OFFICER","PATROL","$93,054.24"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,034.62"
"CONSTRUCTION INSPECTOR","STREETS","$93,002.18"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$92,773.37"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$92,769.30"
"CHIEF BUILDING OFFICIAL","COMM DEV & NEIGHBORHOOD SVCS","$92,642.03"
"INFORMATION SERVICES MANAGER","INFORMATION TECHNOLOGY","$92,482.06"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$92,452.57"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$92,366.00"
"SR ELECTRIC SYSTEMS OPERATOR","UT ELEC SYSTEM DESIGN & IT DIV","$92,353.19"
"POLLUTION CONTROL SERVICE SUPV","UT ENVIRONMENTAL SERVICES DIV","$92,228.15"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$92,221.57"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$92,188.05"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$92,163.67"
"POLICE OFFICER","INVESTIGATIONS","$92,045.59"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$91,986.31"
"POLICE OFFICER","PATROL","$91,985.84"
"BUDGET/PERF MEASMNT MGR-Inactv","BUDGET","$91,868.63"
"SPECIAL PROJECTS MANAGER","UT WATER SYSTEMS ENGR DIV","$91,785.17"
"LIBRARY FINANCE OFFICER","LIBRARY DISTRICT","$91,698.84"
"SPECIAL PROJECTS MANAGER","UT WATER SYSTEMS ENGR DIV","$91,608.12"
"SPECIAL PROJECTS MANAGER","UT WATER SYSTEMS ENGR DIV","$91,567.07"
"RECREATION AREA MANAGER","RECREATION","$91,558.97"
"POLICE OFFICER","PATROL","$91,548.71"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$91,482.66"
"POLICE SERGEANT","OFFICE OF THE CHIEF","$91,475.17"
"POLICE OFFICER","PATROL","$91,446.69"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$91,426.74"
"POLICE OFFICER","PATROL","$91,353.72"
"SPECIAL PROJECTS MANAGER","UT WATER SYSTEMS ENGR DIV","$91,340.10"
"CIVIL ENGINEER III","UT WATER SYSTEMS ENGR DIV","$91,330.62"
"ASSET MANAGER","UTILITIES STRATEGIC PLANNING","$91,318.49"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","$91,313.04"
"SR ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","$91,266.25"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$91,246.96"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$91,167.61"
"CIVIL ENGINEER III","UT DISTRIBUTION SYSTEM DIV","$91,154.58"
"SR ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","$91,028.86"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$90,984.25"
"SR CONSTRUCTION INSPECTOR","ENGINEERING","$90,938.59"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$90,914.92"
"POLICE OFFICER","PATROL","$90,907.38"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","$90,883.37"
"ENVIRONMENTAL REGULATORY SPEC","UT ENVIRO REGULATORY AFFAIRS","$90,873.56"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$90,856.04"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$90,670.00"
"POLICE OFFICER","PATROL","$90,552.25"
"SPECIAL PROJECTS MANAGER","UT WATER SYSTEMS ENGR DIV","$90,461.30"
"NETWORK ADMINISTRATION MGR","INFORMATION TECHNOLOGY","$90,454.02"
"CIVIL ENGINEER III","PARK PLANNING & DEVELOPMENT","$90,447.07"
"SPECIAL PROJECTS MANAGER","UT WATER SYSTEMS ENGR DIV","$90,445.25"
"SR CONSTRUCTION INSPECTOR","STREETS","$90,385.55"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$90,365.33"
"POLICE OFFICER","PATROL","$90,309.89"
"POLICE OFFICER","PATROL","$90,297.66"
"POLICE OFFICER","INVESTIGATIONS","$90,129.56"
"DIRECTOR OF PDT","PDT ADMINISTRATION","$90,040.35"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$89,991.61"
"SUPERVISORY CREW CHIEF","ELECTRIC FIELD SERVICES","$89,955.08"
"POLICE OFFICER","INVESTIGATIONS","$89,809.38"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$89,776.03"
"POLICE TECHNICAL PROJECTS MGR","POLICE INFORMATION SERVICES","$89,754.33"
"POLICE OFFICER","PATROL","$89,685.98"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$89,640.02"
"POLICE OFFICER","OFFICE OF THE CHIEF","$89,553.66"
"POLICY AND PROJECT MANAGER","L&P OPERATIONS SERVICE UNIT","$89,492.21"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$89,490.69"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$89,456.88"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$89,444.43"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$89,441.82"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$89,399.92"
"POLICE OFFICER","PATROL","$89,308.28"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$89,134.62"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$89,127.69"
"SR ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","$89,110.55"
"POLICE OFFICER","OFFICE OF THE CHIEF","$89,048.32"
"ELECTRICAL SERVICES SUPERVISOR","ELECTRIC FIELD SERVICES","$89,045.43"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$89,028.41"
"POLICE OFFICER","INVESTIGATIONS","$88,973.87"
"POLICE OFFICER","PATROL","$88,862.00"
"POLICE OFFICER","INVESTIGATIONS","$88,712.44"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$88,674.11"
"POLICE DEPUTY CHIEF","INVESTIGATIONS","$88,549.31"
"INFORMATION SERVICES MANAGER","INFORMATION TECHNOLOGY","$88,264.03"
"LAN AND SYSTEMS ADMINISTRATOR","INFORMATION TECHNOLOGY","$88,257.60"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$88,113.91"
"EMERGENCY MEDICAL SVCS COORD","POUDRE FIRE AUTHORITY","$88,068.85"
"POLICE OFFICER","PATROL","$88,000.12"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","$87,989.31"
"POLICE OFFICER","PATROL","$87,971.66"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$87,946.06"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","$87,851.46"
"PROJECT ENGINEERING SUPERVISOR","UT ELECTRIC SYSTEMS ENG DIV","$87,850.42"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$87,845.94"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$87,831.28"
"SUBSTATION SPECIALIST","UT ELEC SYSTEM DESIGN & IT DIV","$87,773.90"
"POLICE OFFICER","OFFICE OF THE CHIEF","$87,608.99"
"CHIEF PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$87,591.57"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$87,543.59"
"POLICE OFFICER","INVESTIGATIONS","$87,525.14"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$87,505.37"
"SUBSTATION SPECIALIST","UT ELEC SYSTEM DESIGN & IT DIV","$87,504.63"
"POLICE OFFICER","PATROL","$87,491.99"
"LEAD MAINTENANCE SPECIALIST","UT WATER PRODUCTION DIV","$87,364.78"
"POLICE OFFICER","PATROL","$87,319.22"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$87,315.94"
"POLICE OFFICER","PATROL","$87,228.75"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$87,221.75"
"FC MOVES PROGRAM MANAGER","FC MOVES","$87,135.12"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$87,095.64"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$87,072.38"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","$87,026.42"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$87,013.21"
"POLICE OFFICER","INVESTIGATIONS","$86,950.22"
"POLICE OFFICER","PATROL","$86,920.10"
"POLICE OFFICER","PATROL","$86,886.52"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$86,836.63"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$86,800.62"
"POLICE OFFICER","PATROL","$86,797.95"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$86,792.79"
"ENVIRONMENTAL PROGRAM MANAGER","NATURAL AREAS","$86,634.82"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$86,629.39"
"POLICE OFFICER","INVESTIGATIONS","$86,594.49"
"POLICE OFFICER","PATROL","$86,535.20"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$86,481.18"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$86,480.94"
"POLICE OFFICER","PATROL","$86,455.11"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$86,431.45"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$86,427.98"
"WATER RESOURCES ENGINEER","UT WATER RESOURCES DIV","$86,403.15"
