"Job Title","Department","2016 Earnings"
"TRANSFORT/DAR GENERAL MANAGER","RIDE","$111,569.77"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$111,507.99"
"SR DATABASE ADMINISTRATOR","INFORMATION TECHNOLOGY","$111,127.82"
"CITY TRAFFIC ENGINEER","TRAFFIC","$110,890.82"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$110,753.61"
"POLICE SERGEANT","OFFICE OF THE CHIEF","$110,125.59"
"FIREFIGHTER 40 HOUR (SPECIAL)","POUDRE FIRE AUTHORITY","$110,058.05"
"POLICE SERGEANT","PATROL","$109,950.58"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$109,695.69"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$109,584.13"
"POLICE SERGEANT","PATROL","$109,146.04"
"POLICE SERGEANT","INVESTIGATIONS","$108,939.26"
"POLICE SERGEANT","PATROL","$108,901.97"
"POLICE SERGEANT","PATROL","$108,850.88"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","$108,645.58"
"WATER RECLAM / BIOSOLIDS MGR","UT WTR RECLAMA & BIOSOLIDS DIV","$108,574.64"
"SR ELECTRICAL ENGINEER","UT ELECTRIC SYSTEMS ENG DIV","$108,555.77"
"ENVIRONMENTAL SERVICES DIRECTR","ENVIRONMENTAL SERVICES","$108,413.01"
"POLICE OFFICER","PATROL","$108,383.08"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$108,357.15"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$108,222.84"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","$107,926.05"
"CITY CLERK","CITY CLERK'S OFFICE","$107,834.57"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$107,762.70"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","$107,501.26"
"POLICE SERGEANT","PATROL","$107,460.23"
"POLICE SERGEANT","PATROL","$107,356.48"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$107,352.58"
"ASST OPERATIONS SERVICES DIR","OPERATION SERVICES","$107,205.24"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$106,964.86"
"POLICE SERGEANT","INVESTIGATIONS","$106,719.35"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$106,543.59"
"NATURAL AREAS DIRECTOR","NATURAL AREAS","$106,463.82"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","$106,463.01"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","$106,442.31"
"SUPERVISORY ELECT SYS OPERATOR","ELECTRIC FIELD SERVICES","$106,327.64"
"STREETS SUPERINTENDENT","STREETS","$106,301.37"
"ELECTRIC FIELD SERVICE MANAGER","ELECTRIC FIELD SERVICES","$106,046.92"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$105,781.27"
"SR ELECTRICAL ENGINEER","L&P OPERATIONS SERVICE UNIT","$105,393.82"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$105,236.62"
"POLICE SERGEANT","PATROL","$105,115.30"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$105,112.63"
"WATER RESOURCES MANAGER","UT WATER RESOURCES DIV","$104,524.99"
"IT DIRECTOR - APPLICATION SVCS","INFORMATION TECHNOLOGY","$104,418.70"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$104,240.92"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$104,123.82"
"DIR OF PARK PLANNING & DEV","PARK PLANNING & DEVELOPMENT","$103,866.75"
"SERVICES CREW CHIEF","ELECTRIC FIELD SERVICES","$103,855.90"
"SUBSTATION ELEC/COMM SPEC","UT ELEC SYSTEM DESIGN & IT DIV","$103,833.14"
"APPLICATION SVCS MGR-UTILITIES","INFORMATION TECHNOLOGY","$103,824.63"
"ENERGY SERVICES MANAGER","UTILITIES CUSTOMER CONNECTIONS","$103,718.62"
"ASST FIRE MARSHALL-NON ROTATE","POUDRE FIRE AUTHORITY","$103,555.47"
"IT MANAGER","POUDRE FIRE AUTHORITY","$103,401.86"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$103,246.34"
"POLICE OFFICER","INVESTIGATIONS","$103,054.81"
"SR ELECTRICAL ENGINEER","L&P OPERATIONS SERVICE UNIT","$102,752.91"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$102,453.56"
"POLICE SERGEANT","PATROL","$102,354.43"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$102,348.14"
"POLICE OFFICER","PATROL","$102,274.98"
"POLICE OFFICER","PATROL","$102,247.65"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$102,211.48"
"PAVEMENT MGMT PROGRAM MGR","STREETS","$102,113.43"
"RECREATION DIRECTOR","RECREATION","$101,877.66"
"SR NETWORK ENGINEER","INFORMATION TECHNOLOGY","$101,814.72"
"DEVELOPMENT REVIEW MANAGER","ENGINEERING","$101,754.70"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$101,693.49"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$101,528.75"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$101,486.39"
"ENVIRONMENTAL REG AFFAIRS MGR","UT ENVIRO REGULATORY AFFAIRS","$101,402.75"
"SR SOFTWARE ENGINEER","INFORMATION TECHNOLOGY","$101,209.07"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$101,195.61"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$101,116.59"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$101,113.16"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$101,027.35"
"DIRECTOR OF PARKS","PARKS","$100,976.40"
"SR SOFTWARE ENGINEER","INFORMATION TECHNOLOGY","$100,886.25"
"HR BUSINESS AND TECHNOLOGY MGR","HUMAN RESOURCES","$100,841.98"
"UTIL STRATEGIC FINANCE DIR","UTILITY FINANCIAL OPERATIONS","$100,810.38"
"ACCOUNTING DIRECTOR","ACCOUNTING AND TREASURY","$100,796.52"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$100,690.68"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$100,682.36"
"POLICE SERGEANT","PATROL","$100,636.50"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$100,616.65"
"POLICE OFFICER","INVESTIGATIONS","$100,508.82"
"POLICE OFFICER","PATROL","$100,399.76"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$100,284.61"
"PLANNING MANAGER","COMM DEV & NEIGHBORHOOD SVCS","$100,260.67"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$100,223.57"
"POLICE OFFICER","INVESTIGATIONS","$100,199.52"
"SR ELECTRIC SYSTEMS OPERATOR","ELECTRIC FIELD SERVICES","$100,152.12"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$100,148.37"
"POLICE OFFICER","PATROL","$100,020.71"
"SR NETWORK ENGINEER","INFORMATION TECHNOLOGY","$100,015.61"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$99,882.60"
"POLICE OFFICER","PATROL","$99,652.68"
"POLICE OFFICER","PATROL","$99,650.07"
"ENVIRONMENTAL SVCS MGR-INACTIV","UT ENVIRONMENTAL SERVICES DIV","$99,637.32"
"POLICE OFFICER","PATROL","$99,527.60"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$99,525.49"
"DIR OF SOCIAL SUSTAINABILITY","SOCIAL SUSTAINABILITY","$99,440.02"
"POLICE OFFICER","PATROL","$99,324.40"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$99,114.18"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$99,033.56"
"CONTROLLER","FINANCE ADMINISTRATION","$99,008.54"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$98,661.91"
"POLICE SYSTEMS ANALYST","INFORMATION TECHNOLOGY","$98,495.18"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$98,277.11"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$98,247.94"
"POLICE OFFICER","INVESTIGATIONS","$98,245.61"
"POLICE OFFICER","PATROL","$98,223.74"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$98,169.92"
"POLICE OFFICER","PATROL","$98,044.23"
"ASST FIRE MARSHALL-NON ROTATE","POUDRE FIRE AUTHORITY","$97,963.00"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$97,864.70"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$97,858.56"
"POLICE OFFICER","INVESTIGATIONS","$97,846.70"
"POLICE OFFICER","INVESTIGATIONS","$97,679.51"
"ECONOMIC HEALTH DIRECTOR","ECONOMIC HEALTH OFFICE","$97,581.94"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","$97,407.53"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$97,358.61"
"BUDGET DIRECTOR","BUDGET","$97,091.50"
"SYSTEMS ADMINISTRATION MGR","INFORMATION TECHNOLOGY","$97,034.95"
"POLICE OFFICER","INVESTIGATIONS","$96,957.35"
"PAVEMENT ENGINEER","STREETS","$96,853.28"
"CIVIL ENGINEER III-INACTIVE","ENGINEERING","$96,850.57"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","$96,738.55"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$96,737.72"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$96,735.03"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$96,702.59"
"ASST CITY TRAFFIC ENGINEER","TRAFFIC","$96,678.74"
"METER SYSTEMS SUPERVISOR","UT STANDARDS ENGINEERING DIV","$96,597.76"
"POLICE OFFICER","INVESTIGATIONS","$96,534.67"
"LINE EQUIPMENT CREW CHIEF","ELECTRIC FIELD SERVICES","$96,260.52"
"SR ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","$96,233.36"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$96,230.27"
"NATURAL AREAS MANAGER","NATURAL AREAS","$96,200.32"
"POLICE OFFICER","PATROL","$96,192.49"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$96,124.53"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,970.75"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,874.02"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,829.89"
"POLLUTION CONTROL SERVICE SUPV","UT ENVIRONMENTAL SERVICES DIV","$95,810.72"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,801.29"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,778.11"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,696.15"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,615.10"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,604.53"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,512.48"
"SR DATABASE ANALYST","INFORMATION TECHNOLOGY","$95,481.70"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,365.22"
"CONTROL & DATA SYSTEMS ENG","UT PROCESS & SUPERVIS CNTR DIV","$95,248.20"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$95,165.47"
"POLICE OFFICER","INVESTIGATIONS","$95,104.31"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$94,921.45"
"CHIEF BUILDING OFFICIAL-INACTV","COMM DEV & NEIGHBORHOOD SVCS","$94,913.73"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$94,903.51"
"POLICE PSYCHOLOGIST","OFFICE OF THE CHIEF","$94,895.69"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","$94,878.46"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","$94,867.34"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$94,831.31"
"POLICE OFFICER","INVESTIGATIONS","$94,807.14"
"POLICE OFFICER","PATROL","$94,781.04"
"SR DATABASE ANALYST","INFORMATION TECHNOLOGY","$94,639.14"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","$94,551.35"
"SR ELECTRIC SYSTEMS OPERATOR","ELECTRIC FIELD SERVICES","$94,466.73"
"POLICE OFFICER","INVESTIGATIONS","$94,429.17"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$94,412.10"
"LABORATORY SUPERVISOR","UT ENVIRONMENTAL SERVICES DIV","$94,370.28"
"CIVIL ENGINEER III-INACTIVE","UT WATER UTL ENGINEERING DIV","$94,354.00"
"POLICE OFFICER","INVESTIGATIONS","$94,237.27"
"WATER UTIL FIELD OPNS SUPNTNDT","UT WATER METERS DIV","$94,219.14"
"POLICE OFFICER","INVESTIGATIONS","$94,207.52"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$94,193.26"
"POLICE OFFICER","PATROL","$94,098.18"
"WATER UTIL FIELD OPNS SUPNTNDT","UT DISTRIBUTION SYSTEM DIV","$94,074.11"
"CIVIL ENGINEER III-INACTIVE","ENGINEERING","$94,073.44"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$94,034.79"
"CIVIL ENGINEER III-INACTIVE","UT WATER SYSTEMS ENGR DIV","$94,016.99"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,974.06"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$93,972.44"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,971.46"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$93,906.47"
"SPECIAL PROJECTS MGR-INACTIVE","UT WATER UTL ENGINEERING DIV","$93,897.87"
"STRATEGIC FINANCE DIRECTOR","FINANCE ADMINISTRATION","$93,879.48"
"FIREFIGHTER 40 HOUR (SPECIAL)","POUDRE FIRE AUTHORITY","$93,878.32"
"POLICE OFFICER","PATROL","$93,865.04"
"POLICE OFFICER","PATROL","$93,856.54"
"SPECIAL PROJECTS MGR-INACTIVE","UT WATER SYSTEMS ENGR DIV","$93,853.71"
"POLICE OFFICER","PATROL","$93,509.87"
"POLICE OFFICER","INVESTIGATIONS","$93,479.60"
"CIVIL ENGINEER III-INACTIVE","UT DISTRIBUTION SYSTEM DIV","$93,444.91"
"POLICE OFFICER","PATROL","$93,436.29"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$93,426.80"
"POLICE OFFICER","PATROL","$93,255.63"
"SPECIAL PROJECTS MGR-INACTIVE","UT WATER UTL ENGINEERING DIV","$93,202.50"
"SR ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","$93,175.92"
"ELECTRICAL SERVICES SUPERVISOR","ELECTRIC FIELD SERVICES","$93,168.17"
"POLICE OFFICER","PATROL","$92,951.34"
"SPECIAL PROJECTS MGR-INACTIVE","UT WATER UTL ENGINEERING DIV","$92,781.43"
"SPECIAL PROJECTS MGR-INACTIVE","UT WATER SYSTEMS ENGR DIV","$92,759.97"
"POLICE OFFICER","PATROL","$92,681.49"
"POLICE OFFICER","PATROL","$92,471.14"
"POLICE OFFICER","PATROL","$92,435.59"
"NETWORK ADMINISTRATION MGR","INFORMATION TECHNOLOGY","$92,421.13"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$92,387.20"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$92,280.54"
"POLICE OFFICER","INVESTIGATIONS","$92,250.63"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$92,084.82"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$92,059.81"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$91,978.86"
"FIRE INSPECT COORD - 56 HR/WK","POUDRE FIRE AUTHORITY","$91,909.87"
"POLICE OFFICER","PATROL","$91,840.79"
"WATER UTIL FIELD OPNS SUPNTNDT","UT COLLECTION SYSTEM DIV","$91,836.72"
"POLICE OFFICER","INVESTIGATIONS","$91,785.38"
"POLICE OFFICER","PATROL","$91,758.78"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$91,672.45"
"POLICE OFFICER","INVESTIGATIONS","$91,567.74"
"POLICE OFFICER","PATROL","$91,495.46"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$91,413.64"
"POLICE OFFICER","PATROL","$91,318.11"
"POLICE OFFICER","PATROL","$91,240.62"
"EMERGENCY MEDICAL SVCS COORD","POUDRE FIRE AUTHORITY","$91,239.00"
"SYSTEMS ADMINISTRATOR","INFORMATION TECHNOLOGY","$91,197.84"
"POLICE OFFICER","PATROL","$91,174.98"
"POLICE OFFICER","PATROL","$91,132.32"
"INFORMATION SERVICES MANAGER","INFORMATION TECHNOLOGY","$90,957.99"
"POLICE OFFICER","INVESTIGATIONS","$90,952.48"
"LINEWORKER EQUIPMENT SPEC","ELECTRIC FIELD SERVICES","$90,933.29"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$90,843.82"
"NEIGHBORHOOD SERVICES MANAGER","COMM DEV & NEIGHBORHOOD SVCS","$90,840.31"
"POLICE OFFICER","PATROL","$90,820.15"
"ELECTRIC DIST SAFETY SUPV","ELECTRIC FIELD SERVICES","$90,735.72"
"POLICE OFFICER","PATROL","$90,707.93"
"POLICE OFFICER","OFFICE OF THE CHIEF","$90,690.72"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$90,670.89"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","$90,668.64"
"WATER TRTMNT PLANT SUPERINTNDT","UT WATER PRODUCTION DIV","$90,662.08"
"PROCESS CONTROL SUPERVISOR","UT WTR RECLAMA & BIOSOLIDS DIV","$90,650.23"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$90,599.28"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$90,597.02"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$90,582.22"
"POLICE OFFICER","INVESTIGATIONS","$90,561.59"
"POLICE OFFICER","INVESTIGATIONS","$90,440.40"
"POLICE OFFICER","PATROL","$90,393.95"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$90,370.74"
"POLICE TECHNICAL PROJECTS MGR","POLICE INFORMATION SERVICES","$90,335.15"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$90,264.85"
"PROJECT ENGINEERING SUPERVISOR","UT ELECTRIC SYSTEMS ENG DIV","$90,197.57"
"PLANS ANALYST","COMM DEV & NEIGHBORHOOD SVCS","$90,106.12"
